NUMLS;SOB;TARTO;SUMTO;SUMTO_check;PROBLEM_FLAG
40069921;49.0;34.54;1692.46;1692.46;0
40068629;35.7;29.99;1070.64;1070.64;0
40070514;43.9;34.54;1516.31;1516.31;0
40070454;45.6;34.54;1575.02;1575.02;0
40068607;30.8;34.54;1063.83;1063.83;0
40068655;22.7;29.99;680.77;680.77;0
40068688;58.8;34.54;2030.95;2030.95;0
40068799;43.7;34.54;1509.4;1509.4;0
40069974;33.0;34.54;1139.82;1139.82;0
40070464;31.3;34.54;1081.1;1081.1;0
40070061;45.4;44.79;2033.47;2033.47;0
40068371;30.8;34.54;1063.83;1063.83;0
40069601;52.4;44.79;2347.0;2347.0;0
40036862;37.5;44.79;1679.63;1679.63;0
40069704;37.5;44.79;1679.63;1679.63;0
40069709;67.2;44.79;3009.89;3009.89;0
40069018;58.3;34.54;2013.68;2013.68;0
40069062;32.4;34.54;1119.1;1119.1;0
40069758;52.7;44.79;2360.43;2360.43;0
40069655;37.9;44.79;1697.54;1697.54;0
40068791;42.0;34.54;1450.68;1450.68;0
40069981;45.9;44.79;2055.86;2055.86;0
40020511;41.0;34.54;1416.14;1416.14;0
40013313;69.1;34.54;2386.71;2386.71;0
40010585;47.2;44.79;2114.09;2114.09;0
40010590;59.6;44.79;2669.48;2669.48;0
40068278;60.6;44.79;2714.27;2714.27;0
40069963;48.6;34.54;1678.64;1678.64;0
40010494;44.3;44.79;1984.2;1984.2;0
40010579;59.9;44.79;2682.92;2682.92;0
40068716;29.6;34.54;1022.38;1022.38;0
40036772;30.8;34.54;1063.83;1063.83;0
40069155;58.2;34.54;2010.23;2010.23;0
40069621;37.5;44.79;1679.63;1679.63;0
40010618;59.7;44.79;2673.96;2673.96;0
40036828;36.5;29.99;1094.64;1094.64;0
40068935;42.8;33.67;1441.08;1441.08;0
40020635;82.1;34.54;2835.73;2835.73;0
40068363;30.8;34.54;1063.83;1063.83;0
40069054;31.9;34.54;1101.83;1101.83;0
40069016;39.0;34.54;1347.06;1347.06;0
40069090;32.8;34.54;1132.91;1132.91;0
40069455;48.3;44.79;2163.36;2163.36;0
40010635;59.8;44.79;2678.44;2678.44;0
40010524;47.3;44.79;2118.57;2118.57;0
40069441;48.3;44.79;2163.36;2163.36;0
40069044;56.9;34.54;1965.33;1965.33;0
40069125;33.1;34.54;1143.27;1143.27;0
40068282;61.6;44.79;2759.06;2759.06;0
40069877;56.7;34.54;1958.42;1958.42;0
40068751;43.6;34.54;1505.94;1505.94;0
40069571;50.7;44.79;2270.85;2270.85;0
40020570;54.6;34.54;1885.88;1885.88;0
40020529;88.1;34.54;3042.97;3042.97;0
40069127;48.8;34.54;1685.55;1685.55;0
40070450;69.3;44.79;3103.95;3103.95;0
40069476;60.5;44.79;2709.8;2709.8;0
40010517;59.6;44.79;2669.48;2669.48;0
40010588;32.2;44.79;1442.24;1442.24;0
40036858;52.5;44.79;2351.48;2351.48;0
40010523;32.0;44.79;1433.28;1433.28;0
40010679;44.0;44.79;1970.76;1970.76;0
40020554;58.3;34.54;2013.68;2013.68;0
40069573;67.0;44.79;3000.93;3000.93;0
40068986;44.1;34.54;1523.21;1523.21;0
40069542;68.2;44.79;3054.68;3054.68;0
40020566;58.4;34.54;2017.14;2017.14;0
40068808;43.3;34.54;1495.58;1495.58;0
40069032;57.5;34.54;1986.05;1986.05;0
40069643;36.5;44.79;1634.84;1634.84;0
40069757;37.7;44.79;1688.58;1688.58;0
40020540;57.7;34.54;1992.96;1992.96;0
40069654;69.2;44.79;3099.47;3099.47;0
40069201;56.9;34.54;1965.33;1965.33;0
40070047;60.9;44.79;2727.71;2727.71;0
40070549;40.9;33.67;1377.1;1377.1;0
40070591;48.9;44.79;2190.23;2190.23;0
40070592;48.2;44.79;2158.88;2158.88;0
40070043;60.7;44.79;2718.75;2718.75;0
40020596;57.6;34.54;1989.5;1989.5;0
40069463;47.9;44.79;2145.44;2145.44;0
40068388;30.9;34.54;1067.29;1067.29;0
40068307;46.4;44.79;2078.26;2078.26;0
40068197;54.2;34.54;1872.07;1872.07;0
40068702;29.7;34.54;1025.84;1025.84;0
40069069;48.4;34.54;1671.74;1671.74;0
40069778;37.7;44.79;1688.58;1688.58;0
40069809;32.0;34.54;1105.28;1105.28;0
40010566;59.4;44.79;2660.53;2660.53;0
40068777;31.2;34.54;1077.65;1077.65;0
40069852;32.0;34.54;1105.28;1105.28;0
40010536;18.8;44.79;842.05;842.05;0
40069561;51.1;44.79;2288.77;2288.77;0
40069795;49.5;34.54;1709.73;1709.73;0
40070537;57.4;34.54;1982.6;1982.6;0
40036851;52.9;44.79;2369.39;2369.39;0
40070577;60.4;44.79;2705.32;2705.32;0
40069167;32.5;34.54;1122.55;1122.55;0
40036902;46.3;44.79;2073.78;2073.78;0
40069499;61.5;44.79;2754.59;2754.59;0
40068620;36.3;29.99;1088.64;1088.64;0
40069066;49.4;34.54;1706.28;1706.28;0
40070531;57.6;34.54;1989.5;1989.5;0
40010583;59.7;44.79;2673.96;2673.96;0
40036871;69.9;44.79;3130.82;3130.82;0
40036775;43.2;34.54;1492.13;1492.13;0
40069732;69.1;44.79;3094.99;3094.99;0
40069608;68.7;44.79;3077.07;3077.07;0
40068608;50.0;34.54;1727.0;1727.0;0
40070522;32.4;34.54;1119.1;1119.1;0
40013315;54.2;34.54;1872.07;1872.07;0
40068547;41.1;34.54;1419.59;1419.59;0
40020501;50.5;34.54;1744.27;1744.27;0
40068766;59.3;34.54;2048.22;2048.22;0
40069232;33.2;34.54;1146.73;1146.73;0
40068964;42.7;34.54;1474.86;1474.86;0
40069067;32.5;34.54;1122.55;1122.55;0
40010569;46.8;44.79;2096.17;2096.17;0
